company_name,category,website
CrossFit Foggy Bottom,Interval Training Gyms,balancegym.com
Lerner Health & Wellness Center,Gyms,gwired.gwu.edu/gwellness/info/…
McLean Racquet & Health Club,Gyms,mcleanracquetandhealthclub.com
Wardman Park Fitness and Swim Club,Gyms,
Gold's Gym,"Gyms, Trainers, Yoga",goldsgym.com
Northwest Sport&Health,"Gyms, Trainers, Sports Clubs",sportandhealth.com
LA Fitness,"Gyms, Trainers, Yoga",lafitness.com
Off Road,"Boxing, Gyms, Cycling Classes",offroaddc.com
Sportrock Climbing Centers,"Gyms, Climbing, Yoga",See Website
Fitness On The Run,"Trainers, Gyms",fitnessontherun.net
The Energy Fitness Club at Metro Center,"Gyms, Trainers",
Elevate Interval Fitness,Gyms,TrainAtElevate.com
Fitness Together - Alexandria,"Gyms, Trainers",fitnesstogether.com/alexandria
LevelUp Personal Training,"Trainers, Circuit Training Gyms, Nutritionists",See Website
Tuckahoe Recreation Club,"Gyms, Recreation Centers, Swimming Pools",tuckahoe.net
LivingWell Health Club at Washington Hilton,"Swimming Pools, Gyms",livingwellindc.com
Orangetheory Fitness H Street,"Boot Camps, Gyms, Trainers",orangetheoryfitness.com
"F45 Training Old Town, Alexandria","Circuit Training Gyms, Interval Training Gyms, Trainers",f45training.com/oldtownalexand…
Old Town Sport&Health,"Gyms, Trainers, Sports Clubs",sportandhealth.com
N-Flux,"Kickboxing, Self-defense Classes, Gyms",staynflux.com
FIT Personal Training Gym,"Trainers, Gyms",fit-dc.com
BC Strength Training,"Trainers, Gyms",bcstrengthtraining.com
DC Row,Gyms,dcrow.co
Orangetheory Fitness Old Town Alexandria,"Gyms, Trainers, Boot Camps",orangetheoryfitness.com
Bo's Fountain of Youth,"Trainers, Gyms",bosfountainofyouth.wixsite.com…
Yoko Fitness,"Trainers, Gyms",yokofitness.com
B Fit,"Gyms, Barre Classes",bfitdc.com
District CrossFit SW,Interval Training Gyms,districtcrossfit.com
1 To 1 FITNESS,"Gyms, Trainers",1to1fitness.com
Orangetheory Fitness Capitol Hill,"Gyms, Trainers",orangetheoryfitness.com
Clinical Exercise Personal Training,"Trainers, Physical Therapy, Gyms",clinicalexercise.com
Four Seasons Fitness Club,Gyms,
Hard Training Club,Gyms,hardtrainingclub-dc.com
Solidcore H Street,"Gyms, Pilates, Trainers",See Website
Composition ID,"Diagnostic Services, Gyms, Nutritionists",compositionid.com
Fitness Snob Studio,"Gyms, Yoga, Cardio Classes",fitnesssnobstudio.com
Orangetheory Fitness Cleveland Park,"Gyms, Trainers, Boot Camps",orangetheoryfitness.com
OrangeTheory Fitness Washington DC,"Trainers, Gyms, Boot Camps",orangetheoryfitness.com
[solidcore] Adams Morgan,"Gyms, Pilates",solidcore.co/washington-dc/ada…
Scott K Ginsburg Sport and Fitness Center,"Gyms, Swimming Lessons/Schools, Yoga",law.georgetown.edu/your-life-c…
BYNDfit,"Gyms, Trainers, Cardio Classes",
GYMGUYZ McLean,"Trainers, Gyms, Nutritionists",gymguyz.com
Washington Sports Clubs,"Gyms, Trainers, Sports Clubs",washingtonsportsclubs.com
Crossfit Old Town,Interval Training Gyms,crossfitoldtown.com
Orangetheory Fitness Tenleytown,"Boot Camps, Gyms, Trainers",orangetheory.com/en-us/locatio…
Balance Functional Fitness Glover Park,"Interval Training Gyms, Trainers",See Website
HHS Fitness Center,Gyms,
Physiology Fitness,"Trainers, Gyms, Nutritionists",physiologyfitness.com
Fit Club at The Grand Hyatt,"Gyms, Cycling Classes",
Orangetheory Fitness Navy Yard,"Gyms, Trainers, Boot Camps",orangetheoryfitness.com
CrossFit Shaw,"Trainers, Interval Training Gyms",urbanathletic.club/crossfit-sh…
Orangetheory Fitness Washington DC - West End/Foggy Bottom,"Boot Camps, Gyms, Trainers",orangetheoryfitness.com
SweatBox,"Cycling Classes, Interval Training Gyms",sweatboxdc.com
Sumner Fitness,"Gyms, Trainers, Physical Therapy",
Gold's Gym,"Gyms, Trainers, Yoga",goldsgym.com
CrossFit MVA,Interval Training Gyms,crossfitmva.com
FITloose Health & Fitness,"Gyms, Dance Studios",fitloose.org
CrossFit Kingstowne,Interval Training Gyms,crossfitkingstowne.com
Waterside Fitness & Swim Club,"Gyms, Physical Therapy, Trainers",
CrossFit DC,Interval Training Gyms,crossfitdc.com
Orangetheory Fitness Union Market,"Boot Camps, Gyms, Trainers",orangetheoryfitness.com
Gold's Gym,"Gyms, Trainers, Yoga",goldsgym.com
RJ Kettlebell and Personal Training,"Gyms, Trainers",rjkettlebell.com
Skyline Clubs the Complex Listing,"Gyms, Trainers",
RTR Pilates - McLean,"Pilates, Gyms, Trainers",rockthereformer.com
Panzer Stength And Conditioning,Gyms,
Rich Bodies Gym,"Gyms, Trainers",
F45 Training U Street,"Trainers, Interval Training Gyms, Circuit Training Gyms",f45training.com/ustreet
Water Street Gym,"Physical Therapy, Gyms",waterstreetgym.com
Crossfit Thomas Circle - Balance Gym,"Gyms, Trainers",balancegym.com
CrossFit Alepou,"Gyms, Cardio Classes",crossfitalepou.com
Gold's Gym,"Gyms, Trainers, Yoga",goldsgym.com
[solidcore] Shaw,"Gyms, Pilates",solidcore.co/washington-dc/sha…
3d Xplosive Performance,"Gyms, Trainers",3dxplosiveperformance.com
Orangetheory Fitness 14th Street,"Boot Camps, Gyms, Trainers",orangetheory.com/en-us/locatio…
Balance Lagree,"Gyms, Trainers",balancegym.com
Orangetheory Potomac Yard,"Gyms, Boot Camps, Trainers",orangetheoryfitness.com
Bolling Air Force Base Gym,Gyms,
Orangetheory Fitness Georgetown,"Boot Camps, Gyms, Trainers",orangetheoryfitness.com
F45 Training Penrose,"Trainers, Interval Training Gyms, Circuit Training Gyms",f45training.com
Train Like a Pro,"Gyms, Trainers",
CrossFit Hierarchy,Interval Training Gyms,crossfithierarchy.com
YWCA Empower Fit,Gyms,ywcanca.org/site/c.ckLWKiORLdK…
Edlavitch DCJCC,"Gyms, Preschools, Summer Camps",edcjcc.org
The Center,"Gyms, Trainers",
Tinner Hill Crossfit,Gyms,tinnerhillcrossfit.com
Orangetheory Fitness Carlyle,"Boot Camps, Gyms, Trainers",orangetheoryfitness.com
S.T.A.C Performance,"Trainers, Gyms",stacfitness.net
Urban BodyWorks,"Trainers, Gyms",urbanbodyworks.com
Block Sarcopenia,Gyms,
FitOne Personal Training Studio,"Trainers, Circuit Training Gyms",fitonestudio.com
ABNORMAL FITNESS,"Trainers, Gyms",
Authenics,"Trainers, Gyms",authenics.com
Forrestal Occupational Health Organization,Gyms,
River Place Entertainment Center,Gyms,
Orangetheory Fitness the Wharf,"Boot Camps, Gyms, Trainers",orangetheoryfitness.com
CrossFit MPH,Interval Training Gyms,crossfitmph.com
1TO1 FITNESS,"Gyms, Trainers",1to1fitness.com
1TO1 FITNESS,"Gyms, Trainers",1to1fitness.com
Beyond the Hoop,Gyms,
King Khong MMA,"Martial Arts, Gyms",kingkhongmma.com
Orangetheory Fitness Thomas Circle,"Boot Camps, Gyms, Trainers",orangetheoryfitness.com
SoulCycle Mount Vernon,Gyms,soul-cycle.com
Reformation Fitness,"Pilates, Gyms, Trainers",reformationfitness.com
Fitness First Health Club,Gyms,
Tsi Clarendon,Gyms,
Genuine Pilates Studio,Gyms,
Body Zone,"Gyms, Trainers",
BETA Academy,"Martial Arts, Gyms",betaacademy.com
Golds Gym & Fitness Center,"Gyms, Trainers",
Professional Fitness Management,Gyms,
Studio Infinity,"Gyms, Day Spas",
The Fitness Company,Gyms,
Timm Christopher Dr,Gyms,
St Ann's Church Gym,Gyms,
Pure Joe Studios,"Gyms, Trainers",
CrossFit Inc,Interval Training Gyms,
Huggys Personal Training Studio,"Gyms, Trainers",
The Fitness Company,Gyms,
Theater J,"Gyms, Preschools, Summer Camps",theaterj.org
Aerobodies Fitness,Gyms,
Training For Results,Gyms,
Bender Arena,"Gyms, Swimming Pools",aueagles.com/information/facil…
Curves,"Gyms, Weight Loss Centers, Trainers",
Fitness First Health Club,"Gyms, Trainers",
Active Duty Fitness For Women,"Gyms, Trainers",
24 Hour Fitness - Falls Church,"Gyms, Trainers",24hourfitness.com
Golds Gym & Fitness Center,"Trainers, Gyms",goldsgym.com
Earth Treks Crystal City,"Gyms, Climbing, Yoga",earthtreksclimbing.com
Keely's District Boxing & Youth Center,Gyms,
Legacy Management,Gyms,
Forever Fit Personal Training,"Gyms, Trainers",
Hot Topic All Stars,"Gyms, Gymnastics",hottopicallstars.com
Soccer Center,"Gyms, Soccer",
The Yoga Center At Sts,"Gyms, Trainers, Yoga, Nutritionists",
The T'ai Chi Center At Sts,"Gyms, Trainers, Yoga, Nutritionists",
Planet Fitness,Gyms,planetfitness.com
Yamasaki Academy,"Martial Arts, Gyms",
Planet Fitness,Gyms,planetfitness.com
Planet Fitness,Gyms,planetfitness.com
iLoveKickboxing- Falls Church,"Kickboxing, Gyms, Boot Camps",ilovekickboxingfallschurchva.c…
Row House,Gyms,See Website
Yates Field House,Gyms,recreation.georgetown.edu
LA Fitness,"Gyms, Trainers, Yoga",lafitness.com
iLoveKickboxing- Alexandria,"Gyms, Kickboxing, Boot Camps",ilovekickboxing.com
X Gym,"Trainers, Gyms",xgym.com
Xtra Fitness,"Trainers, Gyms",xtrafitnessgym.com
Pure Results Fitness Center,"Trainers, Gyms",pureresultsnow.com
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
Seattle Fitness,"Gyms, Trainers, Yoga",seattlefitness.com
Mode of Fitness,"Gyms, Trainers",modeoffitness.com
Rival Fitness,"Gyms, Trainers, Boot Camps",rivalfitnessseattle.com
Seattle Athletic Club,,sacdt.com
NW FITNESS,"Trainers, Gyms",nwfitnessgym.com
PRO Club Seattle,"Pilates, Interval Training Gyms",proclub.com/club/locations/sea…
Pandora Fitness,"Gyms, Trainers",pandorafitness.com
Seattle Strength & Performance,"Trainers, Gyms",seattlesp.com
Pro Fit Training Gym,"Trainers, Gyms",pftraininggym.com
X Gym,"Trainers, Gyms",xgym.com
Xtra Fitness,"Trainers, Gyms",xtrafitnessgym.com
Pure Results Fitness Center,"Trainers, Gyms",pureresultsnow.com
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
Transform 180 Training - Belltown,"Trainers, Gyms, Boot Camps",transform180training.com
Urban Playground,Gyms,seattleurbanplayground.com
Ballard Health Club,"Gyms, Yoga, Barre Classes",ballardhealthclub.com
Olympic Athletic Club,"Gyms, Trainers",olympicathleticclub.com
NW Fitness Project,"Trainers, Gyms",nwfitnessproject.com
Flow Fitness,"Gyms, Trainers, Barre Classes",flowfitnessseattle.com
Escala GYM,"Sports Clubs, Gyms",
Demco Fitness,"Trainers, Gyms, Boot Camps",demcofitness.com
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
Olympic Athletic Club,"Gyms, Trainers",olympicathleticclub.com
X Gym,"Trainers, Gyms",xgym.com
PNW Fitness,Gyms,pnwfitnessclubs.com
Bassline Fitness,"Trainers, Gyms",basslinefitness.com
Emerald City Athletics,"Trainers, Gyms, Yoga",emeraldcityathletics.com
Belltown Strength & Conditioning,"Trainers, Gyms",belltownstrength.com
FUELhouse,"Trainers, Gyms",fuelhousegym.com
Seattle Strength and Power,Gyms,
Rain City Fit,"Gyms, Trainers, Boot Camps",raincityfit.com
Urban Fit Studios,"Gyms, Trainers",urbanfitstudios.com
Community Fitness,"Gyms, Cardio Classes, Boot Camps",communityfitness.com
OFIT GYM,"Pilates, Yoga, Interval Training Gyms",ofitgym.com
X Gym,"Trainers, Gyms",xgym.com
Fremont Health Club,"Gyms, Barre Classes, Trainers",fremonthc.com
ZUM Fitness,"Gyms, Trainers, Yoga",zumfitness.com
HIIT Lab,"Gyms, Trainers",hiitlab.com
Ridge Fitness,Gyms,ridgefitness.com
Aspire Athletics,"Trainers, Gyms",aspireseattle.com
Junction Fitness 24/7,"Trainers, Gyms",junctionfitness.com
GreenLake Fitness,"Gyms, Trainers, Yoga",greenlakefitness.com
Transform 180 Training - SLU,"Trainers, Circuit Training Gyms",Transform180Training.com
FIT36 - Ballard,"Circuit Training Gyms, Interval Training Gyms, Boot Camps",fit36.com/ballard
24 Hour Fitness - Seattle Northgate,"Gyms, Trainers",24hourfitness.com
X Gym,"Trainers, Gyms",xgym.com
The Performance Fix,"Trainers, Gyms",theperformancefix.com
The Seattle Gym,"Gyms, Trainers, Barre Classes",theseattlegym.com
Flex Personal Training Gym,"Trainers, Gyms",flextraininggym.com
Magnuson Athletic Club,"Gyms, Trainers",macseattle.com
Downtown Branch YMCA,"Gyms, Child Care & Day Care",seattleymca.org
Eastlake Performance,"Trainers, Gyms",eastlakeperformance.com
Flow Fitness,"Gyms, Yoga, Barre Classes",flowfitnessseattle.com
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
Grand Hyatt StayFit,"Trainers, Gyms, Swimming Pools",grandseattle.hyatt.com/en/hote…
West Seattle Health Club,"Recreation Centers, Gyms, Rock Climbing",westseattlehc.com
X Gym,"Trainers, Gyms",xgym.com
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
Riot Athletics,"Boot Camps, Cycling Classes, Circuit Training Gyms",riotathletics.com
Fitness 19 Seattle,"Gyms, Trainers",fitness19.com
CrossFit Felix,Interval Training Gyms,crossfitfelix.com
Roundbox Fitness,"Trainers, Gyms",roundboxfitness.com
Seattle University Eisiminger Fitness Center,"Gyms, Trainers, Yoga",seattleu.edu/Recreation
Elite Fitness Training,"Trainers, Gyms",elitefitnessnw.com
Riley Athletics,"Gyms, Trainers, Boot Camps",rileyathletics.com
Columbia City Fitness Center,"Gyms, Trainers",columbiacityfitness.com
Cue CrossFit,"Boot Camps, Trainers, Interval Training Gyms",cuefitseattle.com
Fusion Fitness,"Trainers, Gyms",lyndzsfusion.fitness
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
University Family YMCA,"Child Care & Day Care, Gyms",seattleymca.org
Eastside Gym,Gyms,eastsidegym.com
Athletic Form,"Batting Cages, Boot Camps, Interval Training Gyms",athleticform.us
Studio 45,"Pilates, Gyms, Weight Loss Centers",studio45seattle.com
Orangetheory Fitness Seattle - Capitol Hill,"Trainers, Gyms, Boot Camps",orangetheoryfitness.com
Cappy's Boxing Gym,"Gyms, Boxing, Cardio Classes",cappysgym.com
Seattle Boxing Gym,"Gyms, Boxing, Trainers",seattleboxinggym.com
The Ride,"Cycling Classes, Gyms",therideseattle.com
IanFitness Capitol Hill,"Boot Camps, Trainers, Gyms",ianfitness.com
Cambio Fitness,"Trainers, Gyms",cambiofitness.com
Olympic Athletic Club,"Gyms, Trainers",olympicathleticclub.com
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
Foundation CrossFit,"Trainers, Gyms",foundationcrossfit.com
Strive & Uplift,"Trainers, Gyms",striveanduplift.com
Seattle Bouldering Project,"Climbing, Gyms, Rock Climbing",seattleboulderingproject.com
F45 Training Queen Anne,"Circuit Training Gyms, Interval Training Gyms, Trainers",f45training.com/QueenAnne
Rainier Health & Fitness,"Gyms, Cycling Classes, Yoga",rainierhealth.com
MH Fitness,"Trainers, Gyms",mhfitness.com
Evolv Fitness,"Boxing, Gyms, Yoga",evolvseattle.com
F45 Training Seattle Central District,"Trainers, Interval Training Gyms, Circuit Training Gyms",f45training.com
Heroics,"Trainers, Life Coach, Gyms",heroicstrainingsystems.com
Iron Works Gym,"Gyms, Trainers",iron-works.com
Thrive Community Fitness,"Gyms, Trainers",thrivecf.com
IanFitness Green Lake,"Boot Camps, Trainers, Gyms",ianfitness.com
Emerald City Community Fitness,Interval Training Gyms,emeraldcitycommunityfitness.co…
Orangetheory Fitness Seattle - Lower Queen Anne,"Gyms, Trainers, Boot Camps",orangetheoryfitness.com
IanFitness Magnolia,"Boot Camps, Trainers, Gyms",ianfitness.com
SISU Strength House,Gyms,sisu.frontdeskhq.com
Row House,Gyms,therowhouse.com/location/south…
CrossFit Deliverance,"Gyms, Trainers",crossfitdeliverance.com
Meredith Mathews East Madison Branch YMCA,"Gyms, Child Care & Day Care",seattleymca.org
F45 Training Capitol Hill,"Trainers, Circuit Training Gyms, Interval Training Gyms",f45training.com/capitolhill
Tiltshift Lab CrossFit,Interval Training Gyms,tiltshiftlabcrossfit.com
Island Fitness,"Gyms, Trainers, Nutritionists",island-fitness.com
Studio 45,"Pilates, Gyms",studio45seattle.com
Vice Athletics,"Boot Camps, Gyms, Boxing",See Website
Emerald City Boxing Gym,"Boxing, Gyms",emeraldcityboxinggym.com
Orangetheory Fitness U District,"Gyms, Boot Camps, Trainers",orangetheoryfitness.com
Power Twenty Indoor Rowing,"Gyms, Cardio Classes, Trainers",powertwentyrowing.com
Optimum Physical Fitness,"Trainers, Gyms",
Bremerton Concourse West Fitness Center,Gyms,navylifepnw.com/programs/7ad84…
The Fitness Lab,"Trainers, Gyms",thefitnesslab.com
X Gym,"Trainers, Gyms",xgym.com
Ballard CrossFit,"Gyms, Trainers",ballardcrossfit.com
SODO Fitness Mechanics,"Gyms, Trainers, Boot Camps",sodofitness.com
Seattle Kettlebell Club,"Trainers, Gyms",seattlekettlebellclub.com
MI Athletic Club,"Trainers, Gyms, Boot Camps",miathleticclub.com
IanFitness West Seattle,"Boot Camps, Gyms, Trainers",ianfitness.com
212 Health & Fitness,"Gyms, Trainers",212health.com
Elevate Fit Life,"Trainers, Gyms, Nutritionists",elevatefitlife.com
Sweat Equity Gym,"Gyms, Trainers",sweatequitygym.com
Fitness Together - Madison Park,"Trainers, Gyms",fitnesstogether.com/madisonpar…
X Gym,"Trainers, Gyms",xgym.com
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
Valkyrie Strength and Conditioning,Interval Training Gyms,valkyriestrengthandconditionin…
Life Time Athletic,"Gyms, Trainers, Yoga",lifetime.life
F45 Training Eastlake,"Circuit Training Gyms, Interval Training Gyms, Trainers",f45training.com/eastlake
Flywheel Sports South Lake Union,"Barre Classes, Gyms, Cycling Classes",flywheelsports.com/studio/sout…
CrossFit LOFT,Interval Training Gyms,crossfitloft.com
Orangetheory Fitness Ballard,"Trainers, Gyms, Boot Camps",orangetheoryfitness.com
Orangetheory Fitness Wallingford,"Boot Camps, Gyms, Trainers",orangetheoryfitness.com
Fitness by Design,"Trainers, Gyms",fitnessbydesignseattle.com
bStrong Bellevue,"Trainers, Gyms, Nutritionists",bStrongBellevue.com
Progressive Gym,"Trainers, Boot Camps, Gyms",progressivegym.com
Xtra Fitness,"Trainers, Gyms",xtrafitnessgym.com
Pure Results Fitness Center,"Trainers, Gyms",pureresultsnow.com
Cornerstone Fitness,"Trainers, Boxing, Gyms",
GymSmithy,Circuit Training Gyms,gymsmithy.com
Orangetheory Fitness Belltown,"Boot Camps, Gyms, Trainers",orangetheoryfitness.com
The Little Gym,Gyms,thelittlegym.com/interbaywa
IanFitness Queen Anne,"Trainers, Boot Camps, Gyms",ianfitness.com
CrossFit Amped,Interval Training Gyms,crossfitamped.com
Seattle Athletic Club,"Gyms, Yoga, Swimming Pools",sacng.com
The Factory Fitness Center,Gyms,factoryfitnesscenter.com
Gold's Gym,"Gyms, Trainers, Barre Classes",goldsgym.com
FitBody Solutions,"Boot Camps, Trainers, Gyms",fitbody-solutions.com
X Gym,"Trainers, Gyms",xgym.com
Xtra Fitness,"Trainers, Gyms",xtrafitnessgym.com
Pure Results Fitness Center,"Trainers, Gyms",pureresultsnow.com
Anytime Fitness,"Gyms, Trainers",anytimefitness.com
